Tick 1114323(1113861), Delay 112 ms, IGT 15:28:10.368, RTA 97:40:24.705-97:40:24.817
Tick 1114324(1113862), Delay 0 ms, IGT 15:28:10.418, RTA 97:40:24.817-97:40:24.817
Tick 1114325(1113863), Delay 37 ms, IGT 15:28:10.468, RTA 97:40:24.817-97:40:24.854
Tick 1114341(1113879), Delay 104 ms, IGT 15:28:11.268, RTA 97:40:25.609-97:40:25.713
Tick 1114342(1113880), Delay 0 ms, IGT 15:28:11.318, RTA 97:40:25.713-97:40:25.713
Tick 1114343(1113881), Delay 43 ms, IGT 15:28:11.368, RTA 97:40:25.713-97:40:25.756
Tick 1114356(1113894), Delay 106 ms, IGT 15:28:12.018, RTA 97:40:26.358-97:40:26.464
Tick 1114357(1113895), Delay 0 ms, IGT 15:28:12.068, RTA 97:40:26.464-97:40:26.464
Tick 1114358(1113896), Delay 43 ms, IGT 15:28:12.118, RTA 97:40:26.464-97:40:26.507
Tick 1114372(1113910), Delay 108 ms, IGT 15:28:12.818, RTA 97:40:27.155-97:40:27.263
Tick 1114373(1113911), Delay 0 ms, IGT 15:28:12.868, RTA 97:40:27.263-97:40:27.263
Tick 1114374(1113912), Delay 43 ms, IGT 15:28:12.918, RTA 97:40:27.263-97:40:27.306
Tick 1114664(1114202), Delay 86 ms, IGT 15:28:27.418, RTA 97:40:41.759-97:40:41.845
Tick 1114665(1114203), Delay 12 ms, IGT 15:28:27.468, RTA 97:40:41.845-97:40:41.857
Tick 1115295(1114833), Delay 45 ms, IGT 15:28:58.968, RTA 97:41:13.310-97:41:13.355
Tick 1115906(1115444), Delay 69 ms, IGT 15:29:29.518, RTA 97:41:43.858-97:41:43.927
Tick 1115907(1115445), Delay 28 ms, IGT 15:29:29.568, RTA 97:41:43.927-97:41:43.955
Tick 1116038(1115576), Delay 3290 ms, IGT 15:29:36.118, RTA 97:41:50.456-97:41:53.746
Tick 1116247(1115785), Delay 45 ms, IGT 15:29:46.568, RTA 97:42:04.149-97:42:04.194
Tick 1116847(1116385), Delay 293817 ms, IGT 15:30:16.568, RTA 97:42:34.145-97:47:27.962
Tick 1116867(1116405), Delay 104 ms, IGT 15:30:17.568, RTA 97:47:28.911-97:47:29.015
Tick 1116868(1116406), Delay 0 ms, IGT 15:30:17.618, RTA 97:47:29.015-97:47:29.015
Tick 1116978(1116516), Delay 55 ms, IGT 15:30:23.118, RTA 97:47:34.461-97:47:34.516
Tick 1117155(1116693), Delay 62 ms, IGT 15:30:31.968, RTA 97:47:43.311-97:47:43.373
Tick 1117156(1116694), Delay 41 ms, IGT 15:30:32.018, RTA 97:47:43.373-97:47:43.414
